__time,/output_std/data[0],/output_std/data[1],/output_std/layout/data_offset,/time/data
1706898891.708610,-0.137702418,0.142868629,0.000000000,
1706898891.708652,,,,1.290000000
1706898891.718660,-0.140612257,0.141491605,0.000000000,
1706898891.718728,,,,1.300000000
1706898891.728591,-0.143355295,0.140085482,0.000000000,
1706898891.728630,,,,1.310000000
1706898891.738577,-0.145930290,0.138651929,0.000000000,
1706898891.738616,,,,1.320000000
1706898891.748489,-0.148336180,0.137192627,0.000000000,
1706898891.748527,,,,1.330000000
1706898891.759157,,,,1.340000000
1706898891.759218,-0.150572081,0.135709265,0.000000000,
1706898891.768520,,,,1.350000000
1706898891.768550,-0.152637287,0.134203544,0.000000000,
1706898891.779181,-0.154531268,0.132677171,0.000000000,
1706898891.779225,,,,1.360000000
1706898891.788667,-0.156253673,0.131131858,0.000000000,
1706898891.788708,,,,1.370000000
1706898891.798601,-0.157804322,0.129569322,0.000000000,
1706898891.798640,,,,1.380000000
1706898891.808667,-0.159183211,0.127991278,0.000000000,
1706898891.808703,,,,1.390000000
1706898891.818614,-0.160390507,0.126399446,0.000000000,
1706898891.818651,,,,1.400000000
1706898891.828711,-0.161426546,0.124795541,0.000000000,
1706898891.828782,,,,1.410000000
1706898891.838909,-0.162291835,0.123181276,0.000000000,
1706898891.839104,,,,1.420000000
1706898891.848632,-0.162987044,0.121558357,0.000000000,
1706898891.848678,,,,1.430000000
1706898891.858698,-0.163513009,0.119928487,0.000000000,
1706898891.858746,,,,1.440000000
1706898891.868658,-0.163870728,0.118293357,0.000000000,
1706898891.868698,,,,1.450000000
1706898891.878705,-0.164061356,0.116654650,0.000000000,
1706898891.878770,,,,1.460000000
1706898891.888722,-0.164086208,0.115014036,0.000000000,
1706898891.888783,,,,1.470000000
1706898891.898685,-0.163946749,0.113373174,0.000000000,
1706898891.898761,,,,1.480000000
1706898891.908881,-0.163644599,0.111733707,0.000000000,
1706898891.908923,,,,1.490000000
1706898891.918720,-0.163181524,0.110097261,0.000000000,
1706898891.918752,,,,1.500000000
1706898891.929092,-0.162559435,0.108465445,0.000000000,
1706898891.929161,,,,1.510000000
1706898891.939203,-0.161780385,0.106839851,0.000000000,
1706898891.939279,,,,1.520000000
1706898891.949088,-0.160846566,0.105222047,0.000000000,
1706898891.949142,,,,1.530000000
1706898891.958832,-0.159760305,0.103613581,0.000000000,
1706898891.958876,,,,1.540000000
1706898891.968891,-0.158524060,0.102015978,0.000000000,
1706898891.968934,,,,1.550000000
1706898891.979032,-0.157140417,0.100430738,0.000000000,
1706898891.979119,,,,1.560000000
1706898891.988949,-0.155612087,0.098859334,0.000000000,
1706898891.989009,,,,1.570000000
1706898891.999311,-0.153941900,0.097303213,0.000000000,
1706898891.999424,,,,1.580000000
1706898892.008824,-0.152132802,0.095763794,0.000000000,
1706898892.008878,,,,1.590000000
1706898892.018840,-0.150187853,0.094242466,0.000000000,
1706898892.018888,,,,1.600000000
1706898892.028827,-0.148110221,0.092740587,0.000000000,
1706898892.028881,,,,1.610000000
1706898892.038860,-0.145903178,0.091259485,0.000000000,
1706898892.038937,,,,1.620000000
1706898892.048751,-0.143570094,0.089800453,0.000000000,
1706898892.048817,,,,1.630000000
1706898892.058612,-0.141114439,0.088364752,0.000000000,
1706898892.058652,,,,1.640000000
1706898892.068613,-0.138539770,0.086953608,0.000000000,
1706898892.068662,,,,1.650000000
